county,state,state_encoded,total_non_english_speakers_18_64,foreign_born_population,spanish_speakers_total,spanish_eng_very_well,spanish_eng_well,spanish_eng_not_well,spanish_eng_not_at_all,indo_euro_speakers_total,indo_euro_eng_very_well,indo_euro_eng_well,indo_euro_eng_not_well,indo_euro_eng_not_at_all,asian_pac_speakers_total,asian_pac_eng_very_well,asian_pac_eng_well,asian_pac_eng_not_well,asian_pac_eng_not_at_all,other_lang_speakers_total,other_lang_eng_very_well,other_lang_eng_well,other_lang_eng_not_well,other_lang_eng_not_at_all,total_enrolled_in_school,enrolled_college_or_grad_school,median_household_income_usd
Franklin County,Indiana,14,12754,245.0,56,12,18,26,0,213,102,17,79,15,198,198,0,0,0,24,0,0,24,0,4786,615,75985
Fulton County,Indiana,14,10617,600.0,502,196,224,79,3,382,254,106,22,0,0,0,0,0,0,32,19,13,0,0,4393,387,62644
Gibson County,Indiana,14,18781,542.0,366,175,57,134,0,121,83,38,0,0,86,65,15,6,0,3,0,3,0,0,7639,1074,64153
Grant County,Indiana,14,38187,1553.0,1137,803,166,138,30,276,221,49,6,0,146,64,38,16,28,126,71,55,0,0,17576,6078,53033
Greene County,Indiana,14,17738,345.0,265,93,50,122,0,163,149,14,0,0,31,16,0,15,0,0,0,0,0,0,5856,657,57771
Hamilton County,Indiana,14,185994,32061.0,6494,3962,1627,850,55,7989,5727,1705,557,0,9096,5821,2226,927,122,3365,1768,1025,572,0,94527,11965,114866
Hancock County,Indiana,14,45724,1707.0,1116,665,231,200,20,612,552,18,42,0,171,111,50,10,0,303,242,61,0,0,18636,2200,85262
Harrison County,Indiana,14,23001,500.0,410,268,105,36,1,85,83,2,0,0,89,72,17,0,0,31,10,21,0,0,8549,1197,71302
Hendricks County,Indiana,14,97290,10368.0,3722,2473,722,527,0,3244,2134,590,394,126,1324,951,214,158,1,1697,974,339,384,0,44609,6147,95261
Henry County,Indiana,14,28981,423.0,396,255,111,7,23,86,86,0,0,0,137,36,71,30,0,44,44,0,0,0,9504,1357,57632
Howard County,Indiana,14,46156,1664.0,809,541,141,116,11,540,518,22,0,0,713,520,120,73,0,59,35,0,24,0,19009,3057,62014
Huntington County,Indiana,14,21305,591.0,540,399,44,66,31,177,177,0,0,0,214,96,0,90,28,18,2,0,16,0,8009,1574,59894
Jackson County,Indiana,14,25141,2631.0,1615,475,513,381,246,391,245,31,111,4,275,0,127,148,0,57,24,24,4,5,9995,948,65609
Jasper County,Indiana,14,18703,905.0,655,346,141,116,52,28,15,2,11,0,39,14,25,0,0,9,0,9,0,0,7402,1089,77777
Jay County,Indiana,14,10710,195.0,193,157,0,36,0,562,531,29,0,2,60,27,19,11,3,0,0,0,0,0,4497,416,52231
Jefferson County,Indiana,14,19513,408.0,522,384,67,69,2,157,124,33,0,0,127,43,48,36,0,0,0,0,0,0,7397,1827,57801
Jennings County,Indiana,14,16002,325.0,556,398,130,28,0,26,26,0,0,0,47,20,0,17,10,0,0,0,0,0,5743,892,66892
Johnson County,Indiana,14,90143,7917.0,2798,1899,586,188,125,2705,1790,552,345,18,1756,1165,385,206,0,443,443,0,0,0,40062,7256,82730
Knox County,Indiana,14,20973,720.0,358,151,102,105,0,284,68,11,205,0,291,96,104,91,0,0,0,0,0,0,8724,2364,58173
Kosciusko County,Indiana,14,41859,4001.0,2909,1711,572,476,150,2096,1710,275,111,0,606,477,62,50,17,61,52,9,0,0,17151,2443,70945
